word	SentiCategory
가능성	기대,놀람
가산기	분노,혐오,두려움,슬픔
가설	기대,놀람
가이드	신뢰
가자미	두려움,슬픔
가장자리	기대,두려움
가정	신뢰
가짜	분노,혐오
가함	두려움,슬픔
가해자	분노,혐오,두려움,슬픔
각성	기대,신뢰
간난	두려움,슬픔
간섭	슬픔
간지럼	기대,기쁨,놀람,신뢰
간청	신뢰
간통	혐오,슬픔
간호사	신뢰
갈등	분노,두려움,슬픔
갈망	기대
갈망	기대,슬픔
갈증	기대,슬픔,놀람
감가상각	분노,혐오,두려움,슬픔
감금	분노,혐오,두려움,슬픔
감독	신뢰
감사	기쁨,신뢰
감사	두려움,신뢰
감사관	신뢰
감손	분노,혐오,두려움,슬픔
감쇠	슬픔
감시	두려움
감염	혐오
감옥	분노,두려움,슬픔
감정	분노,기대,혐오,두려움,기쁨,슬픔,놀람,신뢰
감정가	기쁨,신뢰
감탄	기쁨,신뢰
갑옷	두려움,신뢰
강간	분노,혐오,두려움,슬픔
강도	분노,혐오,두려움,슬픔
강도	혐오,두려움
강사	기대,신뢰
강아지	기대,신뢰
강요	두려움
강장제	기대,기쁨,신뢰
강제	분노
강제	분노,두려움,슬픔
강제	분노,혐오,두려움,슬픔
강타	분노,두려움,슬픔
강타	혐오
강탈	분노,두려움
강판	분노
개그	혐오
개선	기쁨,신뢰
개연성	기대
개집	슬픔
거래	기대,기쁨,놀람,신뢰
거래	신뢰
거머리	혐오,두려움
거문고	기쁨
거미	혐오,두려움
거부	슬픔
거부권	분노
거지	슬픔
거짓	혐오
거짓말	분노,신뢰
거짓말쟁이	혐오
걱정	기대,두려움,슬픔
건강	기대,기쁨,신뢰
건강격리	두려움
건축물	신뢰
걸쇠	분노,기대,혐오,두려움,슬픔
걸작	기쁨
검시	혐오,두려움,슬픔
검열	분노,혐오,두려움,신뢰
검투사	두려움
겁쟁이	두려움
겁쟁이	혐오,두려움
겁쟁이	혐오,두려움,슬픔
게릴라	두려움
게이트웨이	신뢰
격년제	기대
격노	분노
격노	분노,두려움
격노	분노,두려움,슬픔
격리	두려움
격리	슬픔
격변	분노,혐오,두려움
격분	분노,혐오
격언	신뢰
격통	놀람
격통	분노,두려움,슬픔
격퇴	혐오
격투	분노
격화	분노,두려움
견고	신뢰
견책	분노
결과	기대
결석	두려움,슬픔
결석	분노
결석	슬픔
결정	신뢰
결투	분노,기대,두려움
결함	분노
결함	슬픔
결혼	기대,기쁨,신뢰
겸손	분노,혐오,슬픔
겸손	슬픔
겸손	신뢰
경계표	신뢰
경고	기대,두려움,놀람
경고	두려움
경관	두려움,신뢰
경련	두려움
경례	기쁨
경매	기대
경멸	분노
경멸	분노,혐오,두려움
경멸감	분노,혐오
경보	기대,두려움,놀람
경보	두려움,놀람
경비	신뢰
경비원	두려움,신뢰
경사	분노,슬픔
경사	신뢰
경색	두려움,놀람
경쟁	기대
경쟁	분노
경전	신뢰
경제	신뢰
경찰	두려움,신뢰
경향	신뢰
경험	신뢰
곁눈	혐오
계발	기쁨,신뢰
계산	기대
계산자	신뢰
계승	기대,기쁨,놀람,신뢰
계약	신뢰
계약서	분노
계정	신뢰
계획	기대
계획	기대,신뢰
고고학	기대
고난	슬픔
고뇌	분노,두려움,슬픔
고동	분노,두려움,슬픔
고름	혐오
고마움	기쁨
고문	분노,기대,혐오,두려움,슬픔
고문	슬픔
고문	신뢰
고발	분노,두려움
고발	분노,혐오
고발인	분노,두려움
고백	기대,두려움,슬픔,놀람
고백	신뢰
고블린	혐오,두려움
고삐	분노,두려움,슬픔
고용	신뢰
고전	기쁨
고착	신뢰
고통	분노,두려움,슬픔
고통	분노,혐오,두려움,슬픔,놀람
고통	슬픔
고통	혐오,두려움,슬픔
고해성사	두려움,신뢰
고행	기대,혐오,두려움,슬픔
곡구	두려움,놀람
곡예사	두려움,기쁨,신뢰
곡해	분노,혐오,슬픔
곤포	두려움
골수	기쁨,신뢰
곰	분노,두려움
곰팡이	혐오
공	슬픔
공감	슬픔
공개	신뢰
공격	분노,두려움
공격	분노,혐오
공격	분노,혐오,두려움,슬픔,놀람
공격자	분노,두려움,슬픔
공고	기대
공기	혐오
공룡	두려움
공리	신뢰
공리적	신뢰
공모	분노,혐오,두려움,슬픔
공모자	분노,기대,혐오,두려움
공산주의	분노,두려움,슬픔
공상가	기대,기쁨,신뢰
공식	신뢰
공인	신뢰
공증인	신뢰
공탁소	신뢰
공포	기대,두려움
공포	두려움
공포	두려움,놀람
공포	두려움,슬픔
공포	분노,혐오,두려움,슬픔,놀람
공항	기대
공허	혐오
공황	두려움
공황	분노,기대,두려움,놀람
과다	혐오
과대평가	놀람
과도기	기대
과부	슬픔
과시	기대,기쁨,놀람
과자	기대,기쁨
과학자	기대,신뢰
관	두려움
관	두려움,슬픔
관대	기대,기쁨,놀람,신뢰
관대	두려움,슬픔
관료	신뢰
관료	혐오
관리	신뢰
관리인	혐오
관보	신뢰
관세	분노,혐오
관장	혐오
관행	기대
광기	분노,두려움
광기	분노,혐오,두려움,슬픔
광인	분노,두려움
광점	기쁨
광택	기쁨
괴물	두려움
괴벽	혐오,슬픔,놀람
교구	신뢰
교도소	두려움,슬픔
교도소	분노
교살	분노,혐오,두려움,슬픔,놀람
교수	신뢰
교수대	분노,두려움,슬픔
교수직	신뢰
교수형	분노,혐오,두려움,슬픔
