단어	감정	신뢰도
의분	놀람	0.985000014
허가	놀람	0.985000014
위엄	놀람	0.976999998
상사	놀람	0.976999998
승인	놀람	0.972000003
신용	놀람	0.968999982
보호심	놀람	0.968999982
낙관적	놀람	0.967999995
충성심	놀람	0.967000008
동경	놀람	0.967000008
신명	놀람	0.958000004
자기	놀람	0.953000009
낙관	놀람	0.94599998
장엄	놀람	0.939999998
보수성	놀람	0.93900001
예기	기쁨	0.927999973
관능	두려움	0.925000012
체념	놀람	0.922999978
자긍	놀람	0.922999978
긍지	놀람	0.916000009
기술	놀람	0.912999988
거리감	두려움	0.912
축원	놀람	0.910000026
선망	기쁨	0.907000005
순정	놀람	0.90200001
연민	기대	0.897000015
양심	놀람	0.897000015
서글픔	기대	0.890999973
상무	놀람	0.889999986
앙심	놀람	0.888999999
색욕	기쁨	0.888000011
상호	놀람	0.88499999
간구	놀람	0.882000029
냉담	기대	0.871999979
아쉬움	기대	0.86500001
숭배	두려움	0.86500001
심통	기대	0.861999989
안심	놀람	0.860000014
선행	기쁨	0.856000006
심경	기대	0.855000019
신뢰감	놀람	0.847000003
번민	기쁨	0.839999974
타기	기쁨	0.838
생각	기쁨	0.837000012
저하	신뢰	0.832000017
탐닉	기쁨	0.83099997
인정	놀람	0.83099997
마음	놀람	0.827000022
서스펜스	놀람	0.825999975
동정심	두려움	0.824999988
탐락	두려움	0.824000001
탄복	두려움	0.822000027
보수	놀람	0.822000027
회개	놀람	0.806999981
안절부절	두려움	0.800000012
라포르	두려움	0.799000025
신뢰	놀람	0.799000025
약한	두려움	0.797999978
원증회고	놀람	0.796000004
우려	두려움	0.787
공감	기대	0.778999984
아메리칸드림	두려움	0.776000023
초연함	기쁨	0.776000023
순종	두려움	0.76700002
관록	놀람	0.763999999
사행	기대	0.75999999
좋아함	슬픔	0.757000029
열애	기쁨	0.757000029
정열	놀람	0.754999995
진지함	놀람	0.753000021
치기	두려움	0.751999974
안절부절못함	두려움	0.751999974
아픔	기대	0.75
오이디푸스콤플렉스	두려움	0.746999979
정한	놀람	0.745000005
애호	슬픔	0.74000001
부끄러움	기대	0.74000001
염세	두려움	0.737999976
미신	두려움	0.737999976
무기력감	두려움	0.736999989
아상	신뢰	0.736999989
열	두려움	0.731999993
탐미	기쁨	0.725000024
경외지심	두려움	0.723999977
고적감	두려움	0.722000003
침착	두려움	0.721000016
신경과민	두려움	0.718999982
기호	슬픔	0.717000008
자부심	슬픔	0.713999987
겁	두려움	0.713
안도	놀람	0.711000025
자존심	놀람	0.709999979
고마움	슬픔	0.708999991
사의	기대	0.708999991
고락	두려움	0.702000022
노염	두려움	0.700999975
위기의식	두려움	0.700999975
싫음	기대	0.699999988
지복	슬픔	0.697000027
매료됨	슬픔	0.694999993
뿔	혐오	0.694000006
애련	놀람	0.694000006
황폐	혐오	0.690999985
경솔	분노	0.685000002
님포마니아	두려움	0.677999973
성가심	슬픔	0.675999999
생활고	기쁨	0.674000025
만심	두려움	0.674000025
정감	놀람	0.670000017
단말마	기대	0.670000017
원망	기대	0.667999983
영국숭배	두려움	0.667999983
마조히즘	혐오	0.666999996
마조히즘	혐오	0.666999996
감질	두려움	0.666999996
비분강개	신뢰	0.665000021
분심	놀람	0.662999988
친선	놀람	0.662999988
우왕좌왕	두려움	0.661000013
정조	놀람	0.661000013
위기감	두려움	0.657999992
야속	기대	0.657000005
갈애	기쁨	0.654999971
평온	슬픔	0.648999989
약	두려움	0.648000002
불락	신뢰	0.648000002
외경	두려움	0.643999994
감성	분노	0.643000007
사감	기대	0.643000007
좌왕우왕	두려움	0.64200002
자존	놀람	0.639999986
심취	기대	0.639999986
양면가치	놀람	0.639999986
비관	기대	0.637000024
그늘	신뢰	0.634000003
해원	두려움	0.634000003
죄책감	기대	0.628000021
골	두려움	0.628000021
자부	슬픔	0.626999974
열중	기쁨	0.626999974
고조	기대	0.624000013
무감정	기대	0.624000013
적개심	두려움	0.623000026
자괴감	기대	0.616999984
환락	분노	0.615999997
감수성	두려움	0.614000022
허탈감	기대	0.614000022
무산	기대	0.612999976
쓰라림	신뢰	0.611999989
야망	기대	0.610000014
실쭉함	기대	0.609000027
패배감	기대	0.60799998
총애	두려움	0.603999972
의기양양	놀람	0.602999985
정취	놀람	0.601999998
고적	두려움	0.600000024
호색	슬픔	0.59799999
고대	놀람	0.597000003
갈증	분노	0.596000016
갈구	기쁨	0.595000029
불평	혐오	0.592000008
열통	두려움	0.591000021
섬뜩함	두려움	0.589999974
희비	분노	0.588999987
입덧	분노	0.588
무성의	신뢰	0.583999991
분	신뢰	0.583999991
안도감	놀람	0.58099997
지락	두려움	0.579999983
자괴심	기대	0.579999983
방심	두려움	0.578999996
암울	기대	0.578000009
자괴	기대	0.574999988
친애	놀람	0.574999988
편안	놀람	0.574000001
미안	기대	0.57099998
호전성	슬픔	0.569999993
부끄럼	기대	0.569000006
가학피학증	두려움	0.568000019
비망	기대	0.568000019
부드러움	기대	0.568000019
엑스터시	기쁨	0.565999985
낭패	두려움	0.564999998
민족의식	놀람	0.564999998
속병	두려움	0.561999977
외로움	기대	0.560000002
광적	두려움	0.558000028
낙심	슬픔	0.556999981
맹목적으로	두려움	0.556999981
은총	두려움	0.556999981
격정	두려움	0.555999994
경외감	두려움	0.555000007
측은	기대	0.552999973
감명	기대	0.551999986
애석	놀람	0.551999986
감상	기대	0.551999986
존중	놀람	0.550999999
리비도	혐오	0.550000012
원	혐오	0.547999978
치정	기쁨	0.547999978
수치심	기대	0.546999991
취향	슬픔	0.546999991
낙	슬픔	0.546000004
심금	기대	0.545000017
격려	슬픔	0.54400003
우국	놀람	0.542999983
감동	슬픔	0.537999988
처량함	두려움	0.537999988
악감정	혐오	0.537
동정	두려움	0.537
흉금	신뢰	0.536000013
평정	놀람	0.532000005
심려	기대	0.532000005
속수무책	두려움	0.531000018
시름	기쁨	0.528999984
관유	놀람	0.528999984
절망감	기대	0.527999997
비위	두려움	0.52700001
허무감	기대	0.526000023
삼락	두려움	0.524999976
성향	놀람	0.523999989
생가슴	슬픔	0.523000002
무서움	두려움	0.522000015
노여움	기대	0.522000015
과학	놀람	0.522000015
뉘우침	놀람	0.521000028
가슴앓이	기대	0.518999994
대우	슬픔	0.518000007
갈급증	두려움	0.51700002
중고	놀람	0.51700002
쓴맛	기대	0.515999973
애기	슬픔	0.513999999
갈등	혐오	0.50999999
묘미	두려움	0.508000016
무력감	기대	0.507000029
환난	두려움	0.507000029
미심결	두려움	0.505999982
존경	슬픔	0.505999982
금광열	두려움	0.505999982
과학기술탐닉증	두려움	0.505999982
격앙	두려움	0.505999982
잔재미	신뢰	0.504999995
불만	신뢰	0.504999995
사고	분노	0.503000021
경쟁의식	혐오	0.501999974
자책감	기대	0.5
그리움	슬픔	0.499000013
소외감	기대	0.499000013
여운	슬픔	0.499000013
적대	혐오	0.497999996
위열	두려움	0.497999996
쾌재	슬픔	0.497000009
태평	슬픔	0.497000009
균열	두려움	0.497000009
욕구	신뢰	0.495999992
동요	혐오	0.495000005
감수	두려움	0.495000005
성감	놀람	0.493999988
강한	두려움	0.493999988
경애	분노	0.493000001
치욕감	기대	0.493000001
사디즘	두려움	0.492000014
사심	기대	0.490999997
병고	두려움	0.490999997
핏대	놀람	0.49000001
회오	두려움	0.49000001
부담감	기대	0.49000001
해방감	슬픔	0.488999993
꿈	슬픔	0.486999989
자만심	슬픔	0.485000014
재정난	두려움	0.485000014
조바심	기대	0.48300001
거리	두려움	0.48300001
흥	기대	0.477999985
자학	놀람	0.477999985
친절	슬픔	0.476999998
온정	놀람	0.476999998
중압감	두려움	0.476000011
홍복	기쁨	0.474999994
희구	분노	0.474000007
공허감	신뢰	0.474000007
수치	신뢰	0.47299999
간절	신뢰	0.47299999
적의	혐오	0.472000003
경이	분노	0.470999986
발랄함	혐오	0.470999986
찬의	슬픔	0.469999999
정욕	혐오	0.469999999
적막	혐오	0.469999999
엘렉트라콤플렉스	신뢰	0.469999999
우민	슬픔	0.469000012
경쟁심	두려움	0.469000012
분풀이	혐오	0.469000012
비참	기대	0.463999987
쾌	슬픔	0.463
의향	기쁨	0.462000012
애	슬픔	0.460999995
황홀감	슬픔	0.460999995
기분	슬픔	0.460000008
참회	기대	0.460000008
중원	놀람	0.460000008
감천	두려움	0.458999991
탐	두려움	0.458000004
선심	분노	0.456999987
압박감	두려움	0.456
비감	두려움	0.456
불	혐오	0.453999996
무아지경	놀람	0.453000009
심기	기쁨	0.451000005
괴로움	기대	0.449999988
도취	슬픔	0.449999988
가락	분노	0.449000001
재미	기쁨	0.448000014
