단어	감정	신뢰도
감정	혐오	0.2669999897480011
불행	기쁨	0.3630000054836273
고통	슬픔	0.24199999868869781
괴로움	기쁨	0.3630000054836273
아픔	기쁨	0.27399998903274536
탐	기쁨	0.19200000166893005
성	분노	0.19499999284744263
마음	슬픔	0.2460000067949295
쾌	기쁨	0.574999988079071
적의	사랑	0.1860000044107437
좋아함	기쁨	0.28200000524520874
애호	사랑	0.3720000088214874
시름	분노	0.1589999943971634
미심결	슬픔	0.20600000023841858
미심	사랑	0.21899999678134918
적대감	혐오	0.4779999852180481
악감정	혐오	0.4830000102519989
원망	분노	0.17499999701976776
부끄러움	슬픔	0.23399999737739563
공감	분노	0.20200000703334808
부끄럼	슬픔	0.210999995470047
수치감	혐오	0.31200000643730164
수치심	슬픔	0.1979999989271164
수치	분노	0.2070000022649765
성욕	혐오	0.4339999854564667
동요	사랑	0.210999995470047
호의	사랑	0.19300000369548798
색욕	혐오	0.4830000102519989
육욕	혐오	0.3269999921321869
절망	슬픔	0.2809999883174896
기분	기쁨	0.2939999997615814
무관심	사랑	0.17299999296665192
감동	기쁨	0.37400001287460327
열광	기쁨	0.24500000476837158
고대	사랑	0.20800000429153442
정열	기쁨	0.2290000021457672
명랑	사랑	0.23000000417232513
기망	희망	0.2160000056028366
안심	불안	0.25200000405311584
감격	놀람	0.3540000021457672
연민	기쁨	0.20399999618530273
방심	불안	0.19900000095367432
예기	분노	0.25699999928474426
심적	분노	0.42899999022483826
심통	분노	0.3709999918937683
감명	놀람	0.21899999678134918
동정심	혐오	0.3330000042915344
성가심	사랑	0.23499999940395355
흥	기쁨	0.2549999952316284
침울함	기쁨	0.36800000071525574
지락	놀람	0.2150000035762787
동정	혐오	0.22200000286102295
죄책감	기쁨	0.3149999976158142
자부심	기쁨	0.39899998903274536
악의	혐오	0.3109999895095825
애석	사랑	0.3059999942779541
안락	기쁨	0.593999981880188
성감	혐오	0.210999995470047
흥분	분노	0.3580000102519989
뉘우침	기쁨	0.2809999883174896
신	분노	0.25200000405311584
긍지	사랑	0.2160000056028366
경이	분노	0.29100000858306885
편안	기쁨	0.4090000092983246
아쉬움	기쁨	0.34299999475479126
욕구	분노	0.20200000703334808
위안	기쁨	0.19599999487400055
야망	희망	0.22599999606609344
자책감	사랑	0.19900000095367432
경이감	분노	0.1720000058412552
자부	기쁨	0.36800000071525574
자존심	슬픔	0.1899999976158142
회한	분노	0.20000000298023224
환락	기쁨	0.5130000114440918
자존	기쁨	0.22200000286102295
기호	놀람	0.23999999463558197
프라이드	사랑	0.21400000154972076
언짢음	슬픔	0.24199999868869781
고마움	기쁨	0.4269999861717224
오락	사랑	0.16200000047683716
꿈	기쁨	0.25099998712539673
장엄	기쁨	0.18299999833106995
열의	분노	0.1770000010728836
원	분노	0.33399999141693115
선호	혐오	0.22599999606609344
냉담	슬픔	0.26100000739097595
열정	기쁨	0.1720000058412552
발랄함	놀람	0.1860000044107437
애처로움	사랑	0.23100000619888306
숭배	혐오	0.4099999964237213
콤플렉스	기쁨	0.2280000001192093
위엄	기쁨	0.2630000114440918
갈등	혐오	0.3330000042915344
사심	슬픔	0.2150000035762787
갈등상태	분노	0.1979999989271164
기겁	놀람	0.4359999895095825
처량함	슬픔	0.2529999911785126
자만심	사랑	0.24400000274181366
찬의	기쁨	0.23399999737739563
분격	분노	0.32899999618530273
그리움	기쁨	0.3720000088214874
노기	분노	0.289000004529953
우왕좌왕	기쁨	0.17800000309944153
격정	분노	0.42800000309944153
그늘	사랑	0.19599999487400055
좌왕우왕	사랑	0.2529999911785126
당혹	슬픔	0.19699999690055847
탐닉	기쁨	0.1940000057220459
대담	슬픔	0.24500000476837158
저하	분노	0.3709999918937683
취미	혐오	0.24699999392032623
조바심	사랑	0.22200000286102295
인정	슬픔	0.2070000022649765
참회	슬픔	0.20100000500679016
낭패	놀람	0.17599999904632568
공명	분노	0.22300000488758087
비관	슬픔	0.19300000369548798
탄복	기쁨	0.25
낙심	슬픔	0.2770000100135803
존경	기쁨	0.31200000643730164
싫음	혐오	0.38600000739097595
열등콤플렉스	혐오	0.367000013589859
자기	사랑	0.29499998688697815
안도감	혐오	0.17499999701976776
삶의	기쁨	0.21899999678134918
충동	기쁨	0.2840000092983246
체념	기쁨	0.24199999868869781
감수	혐오	0.20000000298023224
안도	분노	0.1860000044107437
좌절	놀람	0.3149999976158142
한	분노	0.3199999928474426
상호	사랑	0.3089999854564667
불평	혐오	0.39899998903274536
